id_image,id_wisata,url_image
223,223,https://storage.googleapis.com/tenan-bucket/images/Masjid%20Raya%20Bandung.jpg
224,224,https://storage.googleapis.com/tenan-bucket/images/Dago%20Dreampark.jpg
225,225,https://storage.googleapis.com/tenan-bucket/images/Orchid%20Forest%20Cikole.jpg
226,226,https://storage.googleapis.com/tenan-bucket/images/Kawasan%20Punclut.jpg
227,227,https://storage.googleapis.com/tenan-bucket/images/Alun-Alun%20Kota%20Bandung.jpg
228,228,https://storage.googleapis.com/tenan-bucket/images/Museum%20Sri%20Baduga.jpg
229,229,https://storage.googleapis.com/tenan-bucket/images/Rabbit%20Town.jpg
230,230,https://storage.googleapis.com/tenan-bucket/images/Stone%20Garden%20Citatah.jpg
231,231,https://storage.googleapis.com/tenan-bucket/images/The%20Great%20Asia%20Africa.jpg
232,232,https://storage.googleapis.com/tenan-bucket/images/Bukit%20Moko.jpg
233,233,https://storage.googleapis.com/tenan-bucket/images/Gunung%20Papandayan.jpg
234,234,https://storage.googleapis.com/tenan-bucket/images/Amazing%20Art%20World.jpg
235,235,https://storage.googleapis.com/tenan-bucket/images/Gua%20Belanda.jpg
236,236,https://storage.googleapis.com/tenan-bucket/images/Taman%20Balai%20Kota%20Bandung.jpg
237,237,https://storage.googleapis.com/tenan-bucket/images/Panghegar%20Waterboom%20Bandung.jpg
238,238,https://storage.googleapis.com/tenan-bucket/images/Gunung%20Manglayang.jpg
239,239,https://storage.googleapis.com/tenan-bucket/images/Lembang%20Park%20&%20Zoo.jpg
240,240,https://storage.googleapis.com/tenan-bucket/images/Taman%20Lalu%20Lintas%20Ade%20Irma%20Suryani%20Nasution.jpg
241,241,https://storage.googleapis.com/tenan-bucket/images/Lawangwangi%20Creative%20Space.jpg
242,242,https://storage.googleapis.com/tenan-bucket/images/Curug%20Dago.jpg
243,243,https://storage.googleapis.com/tenan-bucket/images/Kampung%20Korea%20Bandung.jpg
244,244,https://storage.googleapis.com/tenan-bucket/images/Kampung%20Batu%20Malakasari.jpg
245,245,https://storage.googleapis.com/tenan-bucket/images/Jendela%20Alam.jpg
